played,home_team,away_team,home_alias,away_alias,homePts,awayPts,winner,totalPts,home_passing_yards,away_passing_yards,home_rushing_yards,away_rushing_yards,week
True,Ravens,Browns,BAL,CLE,25,40,away,65,222,337,173,193,4
True,Lions,Chiefs,DET,KC,30,34,away,64,261,315,186,123,4
True,Bills,Patriots,BUF,NE,10,16,away,26,240,150,135,74,4
True,Dolphins,Chargers,MIA,LAC,10,30,away,40,161,311,72,79,4
True,Colts,Raiders,IND,OAK,24,31,away,55,265,189,81,188,4
True,Saints,Cowboys,NO,DAL,12,10,home,22,149,212,117,45,4
True,Cardinals,Seahawks,ARI,SEA,10,27,away,37,206,225,115,115,4
True,Bears,Vikings,CHI,MIN,16,6,home,22,197,182,72,40,4
True,Packers,Eagles,GB,PHI,27,34,away,61,414,160,77,176,4
True,Broncos,Jaguars,DEN,JAC,24,26,away,50,303,186,68,269,4
True,Falcons,Titans,ATL,TEN,10,24,away,34,364,227,58,138,4
True,Steelers,Bengals,PIT,CIN,27,3,home,30,260,102,66,73,4
True,Giants,Redskins,NYG,WAS,24,3,home,27,225,121,164,55,4
True,49ers,Browns,SF,CLE,31,3,home,34,171,78,275,102,5
True,Titans,Bills,TEN,BUF,7,14,away,21,150,204,102,109,5
True,Texans,Falcons,HOU,ATL,53,32,home,85,426,316,166,57,5
True,Chargers,Broncos,LAC,DEN,13,20,away,33,211,159,35,191,5
True,Seahawks,Rams,SEA,LA,30,29,home,59,262,395,167,82,5
