home_off_pass_ypg,home_def_pass_ypg,home_off_rush_ypg,home_def_rush_ypg,home_off_ppg,home_def_ppg,home_win_pct,away_off_pass_ypg,away_def_pass_ypg,away_off_rush_ypg,away_def_rush_ypg,away_off_ppg,away_def_ppg,away_win_pct,played,home_team,away_team,home_alias,away_alias,homePts,awayPts,winner,totalPts,home_passing_yards,away_passing_yards,home_rushing_yards,away_rushing_yards,week,season,fk
248.2,189.8,115,118.2,25,20.2,0.4,247.4,303,104.4,68.4,18.4,27.2,0.2,True,Cardinals,Jets,ARI,NYJ,28,3,home,31,225,197,171,33,6,2016,Cardinals_Jets_6_2016
249.2,258.6,128,86.4,22.8,14.8,0.8,282.6,224.6,83.8,114,18.4,22,0.4,True,Patriots,Bengals,NE,CIN,35,17,home,52,358,237,79,120,6,2016,Patriots_Bengals_6_2016
282.8,291.6,90.4,83.4,30.4,28.4,0.2,225.8,185.6,101.4,115.4,25.4,17.4,0.8,True,Chargers,Broncos,SD,DEN,21,13,home,34,166,220,99,84,6,2016,Chargers_Broncos_6_2016
244.33333333333334,191,124.33333333333333,104,25.5,17.333333333333332,0.5,263.8,209,88.8,74.6,21,15.6,0.8,True,Cardinals,Seahawks,ARI,SEA,6,6,tie,12,311,205,132,52,7,2016,Cardinals_Seahawks_7_2016
224.83333333333334,182.33333333333334,98.5,112.66666666666667,23.333333333333332,18,0.6666666666666666,216.5,189.33333333333334,111.16666666666667,126.33333333333333,18,21.166666666666668,0.6666666666666666,True,Broncos,Texans,DEN,HOU,27,9,home,36,157,131,190,140,7,2016,Broncos_Texans_7_2016
239,290,92.5,85.5,15.833333333333334,27.333333333333332,0.16666666666666666,248.16666666666666,225.16666666666666,98.83333333333333,69.66666666666667,19.5,19.166666666666668,0.5,True,Jets,Ravens,NYJ,BAL,24,16,home,40,189,234,155,11,7,2016,Jets_Ravens_7_2016
219.5,235.5,146.66666666666666,88.5,20,21.166666666666668,0.5,262.3333333333333,293.5,101.83333333333333,117.66666666666667,26.666666666666668,29,0.3333333333333333,True,Titans,Colts,TEN,IND,26,34,away,60,207,341,124,81,7,2016,Titans_Colts_7_2016
329.5,285.3333333333333,112,94.16666666666667,33.166666666666664,27.666666666666668,0.6666666666666666,263.3333333333333,279.6666666666667,91.83333333333333,83.5,28.833333333333332,25.833333333333332,0.3333333333333333,True,Falcons,Chargers,ATL,SD,30,33,away,63,256,348,130,78,7,2016,Falcons_Chargers_7_2016
260.6666666666667,271.3333333333333,88.66666666666667,108.33333333333333,25,25.5,0.5,276.8333333333333,242.5,110.33333333333333,124,23.666666666666668,23.666666666666668,0.6666666666666666,True,Lions,Redskins,DET,WAS,20,17,home,37,250,283,94,130,7,2016,Lions_Redskins_7_2016
275,246.83333333333334,89.83333333333333,108.16666666666667,18.166666666666668,24.166666666666668,0.3333333333333333,237.33333333333334,285.3333333333333,110.66666666666667,118,18.833333333333332,29.333333333333332,0,True,Bengals,Browns,CIN,CLE,31,17,home,48,288,172,271,180,7,2016,Bengals_Browns_7_2016
226.6,266.6,105.2,72.4,22.8,22.6,0.6,284.1666666666667,233.5,91,107.66666666666667,16.833333333333332,23.833333333333332,0.16666666666666666,True,Packers,Bears,GB,CHI,26,10,home,36,303,120,103,69,7,2016,Packers_Bears_7_2016
243.2,236.6,108.8,116.4,21.8,20.4,0.6,335.4,301.6,78,117.8,31,33.6,0.4,True,Chiefs,Saints,KC,NO,27,21,home,48,214,359,112,104,7,2016,Chiefs_Saints_7_2016
220.5,246.16666666666666,80.83333333333333,115.66666666666667,18.333333333333332,22.833333333333332,0.5,288.1666666666667,266.8333333333333,76,96.83333333333333,19.333333333333332,21.833333333333332,0.5,True,Rams,Giants,LA,NYG,10,17,away,27,271,196,74,36,7,2016,Rams_Giants_7_2016
234.83333333333334,236.66666666666666,97.33333333333333,147,19.666666666666668,22.333333333333332,0.3333333333333333,171,242,166.5,103.16666666666667,27,17.166666666666668,0.6666666666666666,True,Dolphins,Bills,MIA,BUF,28,25,home,53,198,200,256,67,7,2016,Dolphins_Bills_7_2016
225.2,207.4,113.6,104.6,27,15.6,0.6,232,209.8,70.6,77.8,23.8,12.6,1,True,Eagles,Vikings,PHI,MIN,21,10,home,31,138,189,101,93,7,2016,Eagles_Vikings_7_2016
265.5,293.6666666666667,106.33333333333333,101.16666666666667,25.666666666666668,20.5,0.6666666666666666,267.3333333333333,255,119.83333333333333,92,24.833333333333332,15.166666666666666,0.8333333333333334,True,Steelers,Patriots,PIT,NE,16,27,away,43,281,222,94,140,7,2016,Steelers_Patriots_7_2016
169.5,215.5,123.33333333333333,174.5,21.166666666666668,30.833333333333332,0.16666666666666666,247.2,262.4,88.6,103.8,18.8,28.4,0.4,True,49ers,Buccaneers,SF,TB,17,34,away,51,113,264,160,249,7,2016,49ers_Buccaneers_7_2016
249,218.4,71,103,20.2,25.4,0.4,263.8333333333333,312.6666666666667,110,132.16666666666666,25.333333333333332,27.166666666666668,0.6666666666666666,True,Jaguars,Raiders,JAC,OAK,16,33,away,49,239,200,105,144,7,2016,Jaguars_Raiders_7_2016
273.57142857142856,281.14285714285717,98.85714285714286,118.57142857142857,27.714285714285715,28.571428571428573,0.42857142857142855,238.33333333333334,257,109.33333333333333,114.33333333333333,22.666666666666668,20.5,0.6666666666666666,True,Colts,Chiefs,IND,KC,14,30,away,44,172,334,105,88,8,2016,Colts_Chiefs_8_2016
215.14285714285714,175,111.57142857142857,116.57142857142857,23.857142857142858,16.714285714285715,0.7142857142857143,275.42857142857144,276.2857142857143,89.85714285714286,90.14285714285714,29.428571428571427,26.428571428571427,0.42857142857142855,True,Broncos,Chargers,DEN,SD,27,19,home,46,267,246,57,123,8,2016,Broncos_Chargers_8_2016
204.28571428571428,184.71428571428572,115.28571428571429,135.42857142857142,16.714285714285715,22,0.5714285714285714,259.14285714285717,273,89.42857142857143,111.42857142857143,24.285714285714285,24.285714285714285,0.5714285714285714,True,Texans,Lions,HOU,DET,20,13,home,33,164,231,105,58,8,2016,Texans_Lions_8_2016
339.3333333333333,287,82.33333333333333,116.83333333333333,29.333333333333332,32.5,0.3333333333333333,254,226,82.66666666666667,84.16666666666667,18.5,14,0.75,True,Saints,Seahawks,NO,SEA,25,20,home,45,252,285,123,74,8,2016,Saints_Seahawks_8_2016
