,home_off_pass_ypg,home_def_pass_ypg,home_off_rush_ypg,home_def_rush_ypg,home_off_ppg,home_def_ppg,home_win_pct,away_off_pass_ypg,away_def_pass_ypg,away_off_rush_ypg,away_def_rush_ypg,away_off_ppg,away_def_ppg,away_win_pct
Browns_Cowboys_9_2016,241.875,277.75,114.0,143.75,19.75,29.75,0.0,245.0,255.85714285714286,164.85714285714286,92.85714285714286,26.857142857142858,18.571428571428573,0.8571428571428571
49ers_Saints_9_2016,161.42857142857142,222.42857142857142,128.57142857142858,185.14285714285714,20.571428571428573,31.285714285714285,0.14285714285714285,326.85714285714283,286.7142857142857,88.14285714285714,110.71428571428571,28.714285714285715,30.714285714285715,0.42857142857142855
Rams_Panthers_9_2016,227.71428571428572,239.0,79.85714285714286,104.28571428571429,17.142857142857142,22.0,0.42857142857142855,264.0,286.85714285714283,123.85714285714286,80.14285714285714,27.285714285714285,28.0,0.2857142857142857
Dolphins_Jets_9_2016,229.57142857142858,231.42857142857142,120.0,135.57142857142858,20.857142857142858,22.714285714285715,0.42857142857142855,230.625,289.125,110.125,74.0,18.75,26.0,0.375
Vikings_Lions_9_2016,221.42857142857142,204.57142857142858,71.85714285714286,92.57142857142857,19.857142857142858,14.857142857142858,0.7142857142857143,255.625,259.375,85.5,110.625,22.875,23.75,0.5
Seahawks_Bills_9_2016,258.42857142857144,229.71428571428572,81.42857142857143,89.71428571428571,18.714285714285715,15.571428571428571,0.6428571428571429,179.375,241.875,154.125,118.375,26.5,21.5,0.5
Giants_Eagles_9_2016,275.0,267.42857142857144,70.28571428571429,93.57142857142857,19.0,20.142857142857142,0.5714285714285714,208.28571428571428,214.14285714285714,109.42857142857143,114.71428571428571,25.571428571428573,16.714285714285715,0.5714285714285714
Chiefs_Jaguars_9_2016,252.0,244.85714285714286,106.28571428571429,113.0,23.714285714285715,19.571428571428573,0.7142857142857143,258.0,224.57142857142858,72.57142857142857,124.71428571428571,19.857142857142858,28.0,0.2857142857142857
Packers_Colts_9_2016,237.0,247.14285714285714,105.28571428571429,74.42857142857143,24.571428571428573,22.285714285714285,0.5714285714285714,260.875,287.75,99.625,114.75,26.0,28.75,0.375
Patriots_Seahawks_10_2016,263.875,252.5,116.375,101.625,27.125,16.5,0.875,256.75,233.875,75.375,98.75,20.25,16.75,0.6875
Chargers_Dolphins_10_2016,271.3333333333333,279.3333333333333,106.66666666666667,85.33333333333333,29.77777777777778,27.444444444444443,0.4444444444444444,218.0,226.375,122.125,136.125,21.625,22.75,0.5
Redskins_Vikings_10_2016,298.75,246.0,111.5,123.75,23.25,23.625,0.5625,226.125,205.75,72.625,93.125,19.375,15.75,0.625
Steelers_Cowboys_10_2016,264.375,276.0,96.0,99.625,23.0,21.375,0.5,246.25,246.0,165.25,86.875,27.875,17.5,0.875
Jets_Rams_10_2016,226.22222222222223,272.22222222222223,113.44444444444444,81.0,19.22222222222222,26.11111111111111,0.3333333333333333,234.25,232.25,77.25,98.625,16.25,20.875,0.375
Cardinals_49ers_10_2016,261.625,194.875,112.75,102.125,22.375,17.5,0.4375,190.375,235.0,124.125,193.0,20.875,32.5,0.125
Panthers_Chiefs_10_2016,254.125,286.0,115.75,77.5,25.5,25.75,0.375,241.625,244.75,100.75,124.5,23.125,18.875,0.75
Eagles_Falcons_10_2016,225.625,218.375,107.75,107.125,25.25,18.125,0.5,315.0,289.8888888888889,114.22222222222223,91.22222222222223,33.888888888888886,28.77777777777778,0.6666666666666666
Ravens_Browns_10_2016,243.375,222.625,81.75,76.125,19.25,19.125,0.5,234.66666666666666,275.22222222222223,106.33333333333333,146.44444444444446,18.666666666666668,30.333333333333332,0.0
Titans_Packers_10_2016,235.22222222222223,260.44444444444446,144.22222222222223,96.44444444444444,24.11111111111111,25.11111111111111,0.4444444444444444,243.5,250.0,106.625,75.75,24.75,23.375,0.5
Jaguars_Texans_10_2016,256.25,217.625,89.125,116.875,19.125,26.875,0.25,199.25,190.5,114.0,125.75,17.125,20.875,0.625
Saints_Broncos_10_2016,326.375,300.0,108.125,108.5,30.25,29.75,0.5,226.55555555555554,183.33333333333334,96.77777777777777,128.55555555555554,23.77777777777778,18.444444444444443,0.6666666666666666
Buccaneers_Bears_10_2016,249.25,281.0,108.0,117.875,22.5,29.0,0.375,258.75,238.125,96.625,100.75,16.375,22.375,0.25
Giants_Bengals_10_2016,271.625,277.375,68.25,93.875,20.125,20.5,0.625,275.125,262.375,120.25,116.125,20.875,23.625,0.4375
Seahawks_Eagles_11_2016,264.22222222222223,241.66666666666666,77.66666666666667,96.77777777777777,21.444444444444443,17.555555555555557,0.7222222222222222,225.11111111111111,222.44444444444446,118.88888888888889,100.55555555555556,25.11111111111111,17.77777777777778,0.5555555555555556
Browns_Steelers_11_2016,222.3,275.4,99.0,143.7,17.5,30.1,0.0,279.44444444444446,278.1111111111111,90.66666666666667,102.66666666666667,23.77777777777778,22.88888888888889,0.4444444444444444
Redskins_Packers_11_2016,294.44444444444446,250.22222222222223,113.33333333333333,115.22222222222223,23.555555555555557,23.22222222222222,0.6111111111111112,253.44444444444446,254.66666666666666,102.44444444444444,84.44444444444444,24.77777777777778,26.0,0.4444444444444444
Vikings_Cardinals_11_2016,232.55555555555554,211.77777777777777,69.77777777777777,97.0,19.444444444444443,16.88888888888889,0.5555555555555556,272.8888888888889,195.22222222222223,109.11111111111111,100.0,22.444444444444443,17.77777777777778,0.5
Bengals_Bills_11_2016,265.22222222222223,258.6666666666667,115.55555555555556,116.77777777777777,20.77777777777778,23.333333333333332,0.3888888888888889,188.66666666666666,242.22222222222223,155.0,108.88888888888889,26.333333333333332,22.555555555555557,0.4444444444444444
49ers_Patriots_11_2016,191.22222222222223,249.22222222222223,119.55555555555556,180.44444444444446,20.77777777777778,31.444444444444443,0.1111111111111111,268.3333333333333,260.44444444444446,112.44444444444444,101.0,26.77777777777778,18.11111111111111,0.7777777777777778
Cowboys_Ravens_11_2016,251.66666666666666,263.1111111111111,161.0,82.55555555555556,28.666666666666668,18.88888888888889,0.8888888888888888,247.11111111111111,210.22222222222223,85.88888888888889,71.33333333333333,20.22222222222222,17.77777777777778,0.5555555555555556
Raiders_Texans_11_2016,273.3333333333333,283.22222222222223,127.77777777777777,114.77777777777777,27.22222222222222,24.77777777777778,0.7777777777777778,187.33333333333334,196.77777777777777,121.44444444444444,120.66666666666667,17.88888888888889,20.88888888888889,0.6666666666666666
Panthers_Saints_11_2016,252.77777777777777,272.55555555555554,113.88888888888889,79.0,24.555555555555557,25.11111111111111,0.3333333333333333,322.6666666666667,292.6666666666667,105.0,107.88888888888889,29.444444444444443,29.22222222222222,0.4444444444444444
Lions_Jaguars_11_2016,251.0,259.3333333333333,86.77777777777777,107.0,22.77777777777778,22.88888888888889,0.5555555555555556,255.22222222222223,203.66666666666666,88.11111111111111,124.0,19.333333333333332,26.555555555555557,0.2222222222222222
Rams_Dolphins_11_2016,225.44444444444446,223.88888888888889,82.55555555555556,103.11111111111111,15.444444444444445,19.22222222222222,0.4444444444444444,219.44444444444446,235.55555555555554,120.33333333333333,128.77777777777777,22.666666666666668,22.88888888888889,0.5555555555555556
Chiefs_Buccaneers_11_2016,233.11111111111111,244.44444444444446,99.66666666666667,121.66666666666667,22.77777777777778,18.666666666666668,0.7777777777777778,252.66666666666666,267.6666666666667,104.88888888888889,118.33333333333333,24.0,26.88888888888889,0.4444444444444444
Colts_Titans_11_2016,261.8888888888889,287.8888888888889,98.0,114.88888888888889,26.555555555555557,28.444444444444443,0.4444444444444444,240.9,267.7,145.2,93.7,26.4,25.1,0.5
Giants_Bears_11_2016,266.8888888888889,267.22222222222223,74.22222222222223,92.11111111111111,20.22222222222222,20.444444444444443,0.6666666666666666,247.88888888888889,242.77777777777777,99.44444444444444,98.44444444444444,15.666666666666666,23.88888888888889,0.2222222222222222
Jets_Patriots_12_2016,219.3,260.5,116.0,85.4,17.9,24.4,0.3,268.8,252.1,118.3,103.1,27.1,18.0,0.8
Eagles_Packers_12_2016,222.1,228.9,118.3,105.7,24.1,18.6,0.5,262.1,265.6,100.6,91.1,24.7,27.6,0.4
Falcons_Cardinals_12_2016,309.0,283.0,107.6,102.9,32.0,28.3,0.6,261.1,190.2,111.7,97.2,22.6,19.0,0.45
Saints_Rams_12_2016,316.8,280.7,105.2,102.1,28.5,28.6,0.4,215.4,215.7,84.5,102.6,14.9,18.7,0.4
Broncos_Chiefs_12_2016,227.3,194.3,97.4,123.7,23.9,18.9,0.7,235.9,252.6,97.9,121.1,22.2,18.7,0.7
