played,home_team,away_team,home_alias,away_alias,homePts,awayPts,winner,totalPts,home_passing_yards,away_passing_yards,home_rushing_yards,away_rushing_yards,week,season
True,Packers,Seahawks,GB,SEA,17,9,home,26,286,135,84,90,1,2017
True,Bengals,Ravens,CIN,BAL,0,20,away,20,144,111,77,157,1,2017
True,49ers,Panthers,SF,CAR,3,23,away,26,166,171,51,116,1,2017
True,Bengals,Texans,CIN,HOU,9,13,away,22,213,98,82,168,2,2017
True,Ravens,Browns,BAL,CLE,24,10,home,34,201,293,136,93,2,2017
True,Steelers,Vikings,PIT,MIN,26,9,home,35,233,146,102,91,2,2017
True,Raiders,Jets,OAK,NYJ,45,20,home,65,230,145,180,126,2,2017
True,Saints,Patriots,NO,NE,20,36,away,56,348,436,81,119,2,2017
True,Buccaneers,Bears,TB,CHI,29,7,home,36,194,290,117,20,2,2017
True,Jaguars,Titans,JAC,TEN,16,37,away,53,211,211,99,179,2,2017
True,Colts,Cardinals,IND,ARI,13,16,away,29,190,306,76,83,2,2017
True,Chiefs,Eagles,KC,PHI,27,20,home,47,232,299,112,107,2,2017
True,Broncos,Cowboys,DEN,DAL,42,17,home,59,202,228,178,40,2,2017
True,Panthers,Bills,CAR,BUF,9,3,home,12,178,107,77,69,2,2017
True,Falcons,Packers,ATL,GB,34,23,home,57,223,308,141,59,2,2017
True,Giants,Lions,NYG,DET,10,24,away,34,208,119,62,138,2,2017
True,Seahawks,49ers,SEA,SF,12,9,home,21,181,89,131,159,2,2017
True,Chargers,Dolphins,LAC,MIA,17,19,away,36,323,225,44,111,2,2017
True,Rams,Redskins,LA,WAS,20,27,away,47,235,156,97,229,2,2017
True,Titans,Seahawks,TEN,SEA,33,27,home,60,225,364,195,69,3,2017
True,Panthers,Saints,CAR,NO,13,34,away,47,156,213,132,149,3,2017
True,Packers,Bengals,GB,CIN,27,24,home,51,280,191,64,110,3,2017
True,Bills,Broncos,BUF,DEN,26,16,home,42,197,255,75,111,3,2017
True,Colts,Browns,IND,CLE,31,28,home,59,243,235,92,111,3,2017
True,Bears,Steelers,CHI,PIT,23,17,home,40,84,212,222,70,3,2017
True,Chargers,Chiefs,LAC,KC,10,24,away,34,226,122,104,189,3,2017
True,Cardinals,Cowboys,ARI,DAL,17,28,away,45,283,174,49,99,3,2017
True,Eagles,Giants,PHI,NYG,27,24,home,51,161,366,193,49,3,2017
True,49ers,Rams,SF,LA,39,41,away,80,308,292,113,126,3,2017
True,Patriots,Texans,NE,HOU,36,33,home,69,337,292,59,125,3,2017
True,Redskins,Raiders,WAS,OAK,27,10,home,37,356,96,116,32,3,2017
True,Jets,Dolphins,NYJ,MIA,20,6,home,26,233,195,103,30,3,2017
True,Lions,Falcons,DET,ATL,26,30,away,56,253,277,71,151,3,2017
True,Jaguars,Ravens,JAC,BAL,44,7,home,51,244,52,166,134,3,2017
True,Vikings,Buccaneers,MIN,TB,34,17,home,51,369,316,125,26,3,2017
True,Broncos,Raiders,DEN,OAK,16,10,home,26,155,230,143,24,4,2017
True,Packers,Bears,GB,CHI,35,14,home,49,169,205,91,103,4,2017
True,Browns,Bengals,CLE,CIN,7,31,away,38,170,264,45,86,4,2017
True,Falcons,Bills,ATL,BUF,17,23,away,40,242,164,147,117,4,2017
True,Ravens,Steelers,BAL,PIT,9,26,away,35,206,208,82,173,4,2017
True,Cardinals,49ers,ARI,SF,18,15,home,33,317,210,51,95,4,2017
True,Seahawks,Colts,SEA,IND,46,18,home,64,283,139,194,98,4,2017
True,Vikings,Lions,MIN,DET,7,14,away,21,197,154,87,97,4,2017
True,Dolphins,Saints,MIA,NO,0,20,away,20,128,261,58,86,4,2017
True,Jets,Jaguars,NYJ,JAC,23,20,home,43,215,136,256,175,4,2017
True,Texans,Titans,HOU,TEN,57,14,home,71,272,109,173,86,4,2017
True,Cowboys,Rams,DAL,LA,30,35,away,65,251,244,189,168,4,2017
True,Patriots,Panthers,NE,CAR,30,33,away,63,293,304,80,140,4,2017
True,Chargers,Eagles,LAC,PHI,24,26,away,50,342,240,58,214,4,2017
True,Chiefs,Redskins,KC,WAS,29,20,home,49,261,220,168,111,4,2017
True,Buccaneers,Giants,TB,NYG,25,23,home,48,323,288,111,91,4,2017
True,Colts,49ers,IND,SF,26,23,home,49,288,336,159,66,5,2017
True,Buccaneers,Patriots,TB,NE,14,19,away,33,319,289,90,113,5,2017
True,Giants,Chargers,NYG,LAC,22,27,away,49,183,258,152,124,5,2017
True,Dolphins,Titans,MIA,TEN,16,10,home,26,78,119,100,69,5,2017
True,Steelers,Jaguars,PIT,JAC,9,30,away,39,301,82,70,231,5,2017
True,Raiders,Ravens,OAK,BAL,17,30,away,47,137,222,108,143,5,2017
True,Bengals,Bills,CIN,BUF,20,16,home,36,323,139,65,82,5,2017
True,Rams,Seahawks,LA,SEA,10,16,away,26,275,179,100,62,5,2017
True,Cowboys,Packers,DAL,GB,31,35,away,66,245,182,163,160,5,2017
True,Eagles,Cardinals,PHI,ARI,34,7,home,41,297,276,122,31,5,2017
True,Bears,Vikings,CHI,MIN,17,20,away,37,159,141,115,159,5,2017
True,Texans,Chiefs,HOU,KC,34,42,away,76,248,323,144,127,5,2017
